admission_no,ExaminationFee,TutionFee,RefreshmentAccFee,LabFee,ProjectFee,AnnualCharges,AdminCharges,SmartClassCharges,ComputerFeeYearly,ComputerFeeMonthly,DevelopmentChargesYearly,TransportFee,PortalCharges,LateFee,TotalFee
6281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
5876,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22115
5799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22115
7911,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6810
5488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3000
7157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7055
6815,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3585
5798,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12085
8980,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15085
8256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22115
6148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7810
6055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3405
8374,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9085
8666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6810
7222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6810
5148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22115
8902,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6810
8596,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8580
9012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22115
8780,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6810
8982,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6810
8940,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22115
